"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Gurriel Jr., Lourdes","666971","2024","30","471","505","130","92","21","1","16","96","25",19,5,".276",".427",".317","0.744",".264",".420",".321",".314",".307",".156",70.5,9.2,12.8,10.5,30.6,25,"7.5","11","88.2","16",33.2,6.6,39.6,"99.406768316","93.836176939",69.3,11.1,33.2,38.4,61.6,"123","320",50.3,"965","242","1064","481","1917",88.6,"73","660",49.7,"952",41.3,"791",20,51.1
"Martinez, J.D.","502110","2024","36","367","420","93","55","22","1","15","122","42",29,10,".253",".441",".337","0.778",".265",".495",".339",".362",".347",".229",72.8,28.1,14.3,10,28.7,20.1,"8.4","25","91.2","14",40.5,15.4,47.4,"101.662503008","95.371678862",68.9,17.7,30.5,60.3,39.7,"167","277",52.1,"909","150","920","533","1745",82.3,"102","577",47.9,"837",40.7,"710",31.5,48.9
"Guerrero Jr., Vladimir","665489","2024","25","512","581","165","100","37","1","27","82","61",14.1,10.5,".322",".557",".398","0.955",".322",".576",".404",".410",".398",".255",75.6,55.4,24.9,19.9,34.8,27.7,"7.7","8","94.1","6.7",34.6,14.1,56.3,"106.03727625","97.936317935",68.1,15.2,27.4,39.7,60.3,"119","300",50.6,"1094","257","1306","439","2171",84.8,"111","729",49.4,"1070",40.8,"883",22.4,47.6
"Cruz, Oneil","665833","2024","25","451","494","123","71","31","3","18","154","38",31.2,7.7,".273",".475",".330","0.805",".268",".484",".342",".343",".327",".215",78.4,75,24.3,16.3,33,22.1,"7.7","6","95.2","10.5",33.7,16.7,54.7,"107.128671141","98.459827517",61.4,24.3,32.5,50.1,49.6,"170","339",52.9,"1043","333","916","621","1973",75.7,"139","571",47.1,"930",42.9,"846",34,46.1
"Mountcastle, Ryan","663624","2024","27","452","485","120","76","29","2","13","106","27",21.9,5.6,".265",".425",".305","0.730",".276",".460",".314",".337",".319",".183",75.1,51.5,15.6,12.2,27.3,21.3,"7.5","13","90.7","11",36.2,8.8,44.7,"102.01136","95.309849286",75.5,15.6,38,40.2,59.8,"145","361",52,"949","199","1031","427","1822",84.4,"103","661",48,"875",42.7,"779",24.3,56.1
"Burger, Jake","669394","2024","28","424","463","105","62","17","1","25","123","28",26.6,6,".248",".469",".305","0.774",".250",".487",".331",".340",".309",".238",74.8,49.5,20.5,14.7,33.2,23.8,"7.5","11","91.8","13",31.3,13.2,47,"103.771269079","96.266511386",68.7,18.9,36.4,48.1,51.9,"155","322",53,"885","246","879","383","1670",81.1,"102","539",47,"785",43.7,"730",29.8,51.6
"Sheets, Gavin","657757","2024","28","383","427","92","59","24","1","8","92","38",21.5,8.9,".240",".371",".314","0.685",".253",".390",".301",".315",".327",".137",72.8,31.4,13.7,10.9,30.1,23.8,"7.6","23","87.9","13.6",41.3,5.8,35.8,"99.070828767","93.638948082",61.9,17.5,30.2,35.1,64.6,"100","285",53.8,"945","327","891","443","1758",82.5,"88","503",46.2,"813",43.8,"770",23.9,44.8
"Winker, Jesse","608385","2024","30","377","445","98","65","21","0","12","95","56",21.3,12.6,".260",".411",".363","0.774",".247",".385",".341",".327",".353",".138",69.5,7.6,12.1,9.9,33.1,27.2,"7.3","16","88.9","12.5",29.3,7.3,38.7,"99.114313944","93.740895159",63.9,15.7,18.6,38.9,61.1,"61","157",46.9,"845","245","1062","426","1803",84.2,"96","612",53.1,"958",44.1,"795",20.4,42.7
"DeJong, Paul","657557","2024","30","397","431","95","55","17","0","23","134","21",31.1,4.9,".239",".456",".290","0.746",".230",".424",".320",".305",".283",".194",71.9,13.9,12.3,8.4,27.8,19.1,"6.9","11","88.1","20.1",37.1,10.5,41.9,"100.133852015","94.268554195",80.3,25.6,33.7,56.2,43.8,"149","265",48.2,"786","181","956","395","1632",74.4,"174","679",51.8,"846",42.2,"689",34.2,57.8
"Langford, Wyatt","694671","2024","22","392","435","96","66","18","4","8","90","38",20.7,8.7,".245",".372",".313","0.685",".256",".419",".299",".322",".324",".163",74.6,49.1,17.9,13.8,31,23.8,"7","4","89.3","17.9",32.1,8.5,43,"100.939575921","94.642016139",64.1,16.4,23.8,37.6,62.4,"82","218",51.7,"915","211","967","470","1770",83.6,"90","548",48.3,"855",41.4,"733",22.5,43.3
